id,allergen
0,cereals containing gluten
1,crustaceans
2,eggs
3,fish
4,peanuts
5,soybeans (soya)
6,milk
7,nuts (tree nuts),
8,celery
9,mustard
10,sesame seeds
11,sulphur dioxide and sulphites
12,lupin
13,molluscs
